city,product,revenue,profit,quantity
 Atlanta,20in Monitor,37616.58,11284.974,342
 Atlanta,27in 4K Gaming Monitor,192265.07,57679.52100000001,493
 Atlanta,27in FHD Monitor,88194.12000000001,26458.236000000008,588
 Atlanta,34in Ultrawide Monitor,183155.18,54946.554000000004,482
 Atlanta,AA Batteries (4-pack),8421.119999999999,2526.3360000000002,2193
 Atlanta,AAA Batteries (4-pack),7053.410000000001,2116.0230000000006,2359
 Atlanta,Apple Airpods Headphones,189900.0,56970.0,1266
 Atlanta,Bose SoundSport Headphones,108389.15999999999,32516.748,1084
 Atlanta,Flatscreen TV,122100.0,36630.0,407
 Atlanta,Google Phone,270600.0,81180.0,451
 Atlanta,LG Dryer,35400.0,10620.0,59
 Atlanta,LG Washing Machine,31200.0,9360.0,52
 Atlanta,Lightning Charging Cable,28091.05,8427.315000000002,1879
 Atlanta,Macbook Pro Laptop,644300.0,193290.0,379
 Atlanta,ThinkPad Laptop,356996.43,107098.92900000002,357
 Atlanta,USB-C Charging Cable,22884.25,6865.2750000000015,1915
 Atlanta,Vareebadd Phone,69200.0,20760.0,173
 Atlanta,Wired Headphones,18932.21,5679.663000000002,1579
 Atlanta,iPhone,380800.0,114240.00000000003,544
 Austin,20in Monitor,25297.699999999997,7589.31,230
 Austin,27in 4K Gaming Monitor,124016.82,37205.046,318
 Austin,27in FHD Monitor,53996.4,16198.920000000006,360
 Austin,34in Ultrawide Monitor,124636.72,37391.016,328
 Austin,AA Batteries (4-pack),5468.16,1640.448,1424
 Austin,AAA Batteries (4-pack),4987.320000000001,1496.1960000000004,1668
 Austin,Apple Airpods Headphones,133050.0,39915.0,887
 Austin,Bose SoundSport Headphones,70692.93,21207.879,707
 Austin,Flatscreen TV,72600.0,21780.0,242
 Austin,Google Phone,164400.0,49320.0,274
 Austin,LG Dryer,33000.0,9900.0,55
 Austin,LG Washing Machine,15600.0,4680.0,26
 Austin,Lightning Charging Cable,19539.649999999998,5861.895000000001,1307
 Austin,Macbook Pro Laptop,426700.0,128010.0,251
 Austin,ThinkPad Laptop,209997.9,62999.37000000002,210
 Austin,USB-C Charging Cable,14949.449999999999,4484.835000000001,1251
 Austin,Vareebadd Phone,43200.0,12960.0,108
 Austin,Wired Headphones,13548.7,4064.6100000000015,1130
 Austin,iPhone,263900.0,79170.00000000001,377
 Boston,20in Monitor,43336.06,13000.818,394
 Boston,27in 4K Gaming Monitor,263243.25,78972.975,675
 Boston,27in FHD Monitor,119542.03000000001,35862.60900000001,797
 Boston,34in Ultrawide Monitor,254973.29,76491.98700000001,671
 Boston,AA Batteries (4-pack),11581.439999999999,3474.4320000000002,3016
 Boston,AAA Batteries (4-pack),10348.390000000001,3104.5170000000007,3461
 Boston,Apple Airpods Headphones,247950.0,74385.0,1653
 Boston,Bose SoundSport Headphones,141585.84,42475.752,1416
 Boston,Flatscreen TV,166200.0,49860.0,554
 Boston,Google Phone,355800.0,106740.0,593
 Boston,LG Dryer,35400.0,10620.0,59
 Boston,LG Washing Machine,43200.0,12960.0,72
 Boston,Lightning Charging Cable,37240.45,11172.135000000004,2491
 Boston,Macbook Pro Laptop,814300.0,244290.0,479
 Boston,ThinkPad Laptop,446995.53,134098.65900000004,447
 Boston,USB-C Charging Cable,30603.949999999997,9181.185000000001,2561
 Boston,Vareebadd Phone,85600.0,25680.0,214
 Boston,Wired Headphones,26641.78,7992.534000000003,2222
 Boston,iPhone,527100.0,158130.00000000003,753
